groupid,brand,title,our_price,cost,rrp,benchmark_avg,benchmark_min,benchmark_max,benchmark_clicks,suggested_avg,suggested_min,suggested_max,total_click_uplift,total_conversion_uplift,sizes_in_report,margin_at_current,margin_at_suggested
1026697-MAYARI,Birkenstock,Birkenstock Mayari Soft Vegan Sandals Grey Brown Taupe Narrow Fit,90.0,37.5,90.0,,,,,79.2,79.2,79.2,1.06,1.27,1,58.3,52.7
1027305-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Eggshell Regular Fit,40.0,20.83,50.0,47.75,40.57,49.56,3.0,35.5,35.5,35.5,3.49,2.66,4,47.9,41.3
1027339-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals White Eggshell Narrow Fit,65.0,35.42,85.0,81.67,76.5,85.55,4.0,58.56,56.1,59.5,2.52,2.68,6,45.5,39.5
1027346-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals White Eggshell Regular Fit,65.0,35.42,85.0,77.54,74.71,82.02,12.0,57.04,56.1,57.8,6.3,6.42,7,45.5,37.9
1027384-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals White Eggshell Narrow Fit,41.5,20.83,50.0,48.08,47.2,49.5,5.0,37.41,36.49,39.0,12.46,11.71,6,49.8,44.3
1027696-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Stone Coin Narrow Fit,64.4,35.42,85.0,81.64,80.43,85.26,4.0,57.47,56.95,57.96,1.77,1.93,5,45.0,38.4
1027720-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Stone Coin Regular Fit,65.0,35.42,85.0,82.84,79.13,89.24,8.0,58.54,56.95,59.5,6.46,6.62,10,45.5,39.5
1027721-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals New Beige Regular Fit,72.0,35.42,85.0,,67.0,84.55,0.0,67.99,67.99,67.99,0.51,0.47,6,50.8,47.9
1027723-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals New Beige Narrow Fit,75.0,35.42,85.0,,60.25,81.94,0.0,66.66,65.45,68.84,5.7,5.64,6,52.8,46.9
1028566-BARBADOS,Birkenstock,Birkenstock Barbados EVA Slide On Sandals Khaki Green Regular Fit,34.0,16.67,40.0,39.73,31.66,40.0,4.0,,,,,,6,51.0,
